Series_reference,Salary,STATUS,Subject,Group,Industry
BDCQ.SEA1AA,80078,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,78324,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,85850,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,90743,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,81780,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,79261,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,87793,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,91571,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,81687,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,81471,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,93950,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,97208,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,85879,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,84447,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,95075,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,98202,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,87987,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,84529,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,96848,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,99291,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,88716,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,85933,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,96540,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,98994,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,90510,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,87089,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,98933,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,101168,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,90766,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,86929,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,100290,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,102031,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,90836,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,88032,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,100531,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,100947,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,93239,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1AA,92891,F,Business Data Collection - BDC,Industry by employment variable,"Agriculture, Forestry and Fishing"
BDCQ.SEA1BA,5234,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5268,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5499,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5811,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5847,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5922,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5722,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5487,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5506,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5540,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5492,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,6004,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5886,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5815,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5592,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5300,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5422,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5199,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5060,F,Business Data Collection - BDC,Industry by employment variable,Mining
BDCQ.SEA1BA,5194,F,Business Data Collection - BDC,Industry by employment variable,Mining
